team,score,tempo_std,tempo_range,tempo_volatility,velocity_std,velocity_range,note_path
DirectorMusices,3.06,9.14801347960422,8.730139449556603,10.94521617538087,0.08682087126247337,0.2834645807743073,1 - DirectorMuscies__1_2-director-musices-disklavier-final-nolegato.midi.note_params.csv
Midihum,2.9,4.717297604135753,0.028817595855343825,5.890761257278359,0.12344594898911754,0.40157482028007513,2 - Midihum__Rencon_Final_humanized.mid.note_params.csv
RenConnoisseur,2.4,9.059301432098643,30.22525889269771,2.7799148222910444,0.06351807603877298,0.2047243714332581,3 - RenConnoseuir__render.mid.note_params.csv
Contin-U,2.9,40536.34879906656,46048.556765011956,11463.989442574937,0.11698667631122593,0.36220470070838934,4 - Contin-U.transkun.mid.note_params.csv
YQX+,1.79,23.527603521040966,59.06098809374859,36.47415770127249,0.05449895650892783,0.1732283383607865,5 - YQX+__R_pedal.mid.note_params.csv
ScorePerLockNAR,2.52,150.83182335720227,121.24785472178272,115.18464667207729,0.12229750460256932,0.3775590240955353,"6 - ScorePerLockNAR__ScorePerLock NAR (Score-locked, PerTok-based NAR)_WeixiZhai.mid.note_params.csv"
Human,4.4,507.7059000882746,69.48766071407657,716.1414199913305,0.10227556375895257,0.33070865273475647,7 - Human__7-Human.mid.note_params.csv
VirtuosoNet,3.62,116.93656431346453,134.3343517198483,103.82158206247382,0.09452695161472197,0.29133856296539307,8 - VirtuosoNet__test_pieces_Rencon_Final2_normE4.mid.note_params.csv
ElegantAIPianist,2.08,13.028582795467434,41.35889414873719,17.558161393689307,0.10094858941820993,0.3543307185173035,9 - ElegantAIPianist__RenCon_Final.mid.note_params.csv
